user_id,name,role,age,email,phone
U001,Sylvia Martin,Citizen,68,jack13@example.org,+44116 496 0272
U002,Rosie Turnbull-Patel,UtilityProvider,34,lloyddawn@example.net,(0116) 4960477
U003,Hayley Hardy,UtilityProvider,29,hopkinskelly@example.com,0118 496 0189
U004,Joanna Pearson,UtilityProvider,22,mccarthybenjamin@example.net,+44(0)161 496 0825
U005,Mrs Katherine Edwards,GovAgency,35,bryantdenis@example.com,0116 4960882
U006,Matthew Whitehouse,UtilityProvider,51,wbrown@example.org,+44(0)3069990431
U007,Ms Cheryl Winter,Citizen,40,joannaparkinson@example.net,+442074960724
U008,Elliott Watson-Scott,GovAgency,42,fnicholls@example.net,0161 4960335
U009,Pauline Smith,UtilityProvider,23,dholmes@example.org,(0151) 496 0122
U010,Hayley Clements,Citizen,39,clarkgary@example.net,+44(0)118 496 0538
U011,Dr Simon Davies,GovAgency,26,frederick20@example.org,0113 496 0525
U012,Dr Joanne Byrne,UtilityProvider,61,sarah31@example.com,(020) 74960826
U013,Russell Taylor,UtilityProvider,35,evansdean@example.com,(0161)4960338
U014,William Atkinson,UtilityProvider,51,ryan65@example.net,0113 496 0703
U015,Kirsty Talbot,GovAgency,40,clivefuller@example.org,+44(0)29 2018 0804
U016,Kerry King,UtilityProvider,43,melanie24@example.org,(0151) 4960009
U017,Miss Jayne Pearce,Citizen,40,ross52@example.net,0191 4960937
U018,Hilary Saunders,Citizen,69,frederick59@example.net,(0117) 496 0808
U019,Holly Bell,Citizen,32,robert82@example.net,0121 4960426
U020,Jodie Clarke-West,UtilityProvider,47,patrick00@example.com,+44141 4960161
U021,Naomi Clarke,Citizen,60,gpatterson@example.org,+441134960499
U022,Shirley Bell,Citizen,69,eriley@example.org,(020) 7496 0585
U023,Victor Hall,GovAgency,51,cartertony@example.com,(0116) 496 0978
U024,Malcolm Harris,UtilityProvider,52,holmesglen@example.net,+44116 496 0069
U025,Bradley King-Morgan,UtilityProvider,24,martyn40@example.org,020 74960936
U026,Mrs Rosie Holmes,GovAgency,69,byrnemohammed@example.org,0808 1570174
U027,Ruth Holden,UtilityProvider,53,tinadavidson@example.org,(020) 74960927
U028,Ann Bond,GovAgency,34,brett07@example.com,+44113 4960953
U029,Norman Pearson,UtilityProvider,57,frydylan@example.com,+44(0)118 496 0088
U030,Dr Marcus Wright,UtilityProvider,38,ashleighmorgan@example.com,0141 4960325
